"year","state_code","nacchoid","lhd_name","lhd_area_type","fips_county","county_name","fips_place","counties","fips_counties","population","fte","fte_per_100000","expenditures","expenditures_infl","expenditures_per_capita","expenditures_infl_per_capita","lhd_note"
2001,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,14039,25,178.075361492984,1769033,2984927.43217,126.008476387207,212.616812605599,
2002,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,14325,34,237.347294938918,1908210,3149017.9835279,133.208376963351,219.826735324809,
2003,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,14526,32,220.294644086466,1907056,3049489.74145732,131.28569461655,209.933205387396,
2004,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,14836,35,235.912644917768,2054243,3140196.16176412,138.463399838231,211.660566309256,
2005,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,15420,35,226.977950713359,2236540,3236772.80809959,145.041504539559,209.907445402048,
2006,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,15762,37,234.741784037559,2382037,3282098.69815946,151.125301357696,208.228568592784,
2007,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,15968,37,231.713426853707,2427342,3173146.56830018,152.012900801603,198.719098716194,
2008,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,16152,35,216.691431401684,2355260,2931720.81419218,145.818474492323,181.50822277069,
2009,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,16326,39,238.88276368982,2901316,3631435.97896749,177.71138061987,222.432682773949,
2010,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,16412,38,231.537899098221,2868706,3491209.95967001,174.79320009749,212.723005098099,
2011,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,16363,37,226.119904662959,2974175,3505874.31936075,181.762207419177,214.256207257883,
2012,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,16279,34,208.85803796302,2427125,2796339.255,149.095460409116,171.775861846551,
2013,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,16279,34,208.85803796302,2503010,2792211.2735406,153.756987529947,171.522284755857,
2014,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,16376,36,219.833903273083,2713732,2959482.14476785,165.713971665852,180.720697653142,
2015,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,16531,31,187.526465428589,1941810,2117015.18513962,117.464763172222,128.06334675093,
2016,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,16844,16,94.9893137022085,1143259,1244328.56489127,67.8733673711707,73.8736977494221,
2017,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,17040,15,88.0281690140845,1284005,1360539.16601521,75.3524061032864,79.8438477708458,
2018,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,16767,17,101.389634400907,1228312,1254888.46649878,73.2577085942625,74.8427546071913,
2019,"FL","FL016","Florida Department of Health in Dixie County","single county","12029","Dixie County",,1,,16516,16,96.8757568418503,1239526,1239526,75.0500121094696,75.0500121094696,
1990,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,676895,386,57.0250925180419,14569142,34149288.7128761,21.5234888719816,50.4499053957794,
1991,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,687464,395,57.4575541410168,14467742,32713628.0749711,21.0450903610953,47.585950791563,
1992,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,698632,384,54.9645593101948,14939320,32666330.1544885,21.3836755258849,46.7575635735101,
1993,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,707848,391,55.2378476735118,15885966,33892335.7429725,22.4426232750534,47.8808102063896,
1994,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,716659,429,59.861105490896,17504781,36407568.1223959,24.425537110397,50.8018013063339,
1995,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,722280,477,66.0408705765077,21725069,44011686.9692462,30.0784584925514,60.9343841297643,
1996,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,732093,513,70.0730644877085,27976907,55404634.2933462,38.2149631262695,75.6797760576131,
1997,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,746515,542,72.6040334085718,28357618,54936656.2697113,37.9866687206553,73.5908270693975,
1998,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,758691,527,69.4617439774559,29263922,55608691.7609104,38.571595023534,73.2955732451162,
1999,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,767860,532,69.2834631313,32804691,59984352.1376968,42.7222293126351,78.1188655975006,
2000,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,782691,556,71.0369737227079,34272093,59797619.0137509,43.7875138464605,76.4000340028835,
2001,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,791495,568,71.7629296457969,37396329,63099630.3034226,47.2477135041914,79.7220832771181,
2002,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,802061,613,76.4281021019598,39637297,65411333.6956814,49.4193047660963,81.5540634636037,
2003,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,811032,706,87.0495862062163,47287231,75614940.4298681,58.305012625889,93.2329925697977,
2004,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,820761,680,82.8499404820648,46753713,71469553.5585718,56.9638579318462,87.0771802736385,
2005,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,830844,656,78.9558569358387,45818941,66310239.1751184,55.1474657095676,79.8106975257911,
2006,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,841485,692,82.2355716382348,45503817,62697606.5178612,54.0756127560206,74.5082877506565,
2007,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,848993,811,95.5249336566968,57331563,74946774.0387369,67.5288995315627,88.2772579264339,
2008,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,854347,852,99.7252872661811,62672231,78011550.3573111,73.3568807522002,91.3113177167019,
2009,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,859960,824,95.818410158612,60021073,75125454.7896315,69.7951916368203,87.3592432085579,
2010,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,864680,710,82.1113012906509,55193880,67170851.0976138,63.8315677476061,77.6829013017692,
2011,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,865427,689,79.6138784669302,52079855,61390276.6987589,60.1782183823708,70.9364009890597,
2012,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,871038,635,72.9015266842549,46889801,54022677.52812,53.832095729463,62.0210341318289,
2013,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,878948,630,71.6765952024466,44311609,49431434.2325933,50.4143692232077,56.2393159010468,
2014,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,893858,565,63.2091450767348,41124782,44848960.0433906,46.0081825077361,50.1745915384665,
2015,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,909960,553,60.7719020616291,40862183,44549086.6299763,44.9054716690844,48.9571922172142,
2016,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,927903,497,53.5616330586279,39087151,42542642.1392862,42.1241778504865,45.8481566923333,
2017,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,942841,494,52.3948364570484,37493911,39728766.1672568,39.7669501008123,42.1372916189016,
2018,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,954454,482,50.5000764835183,37329234,38136910.8254531,39.110563735916,39.9567824383921,
2019,"FL","FL001","Florida Department of Health in Duval County","single county","12031","Duval County",,1,,971842,422,43.4226962819059,32735444,32735444,33.6839156982308,33.6839156982308,
1990,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,262957,196,74.5369014705826,6467512,15159501.811568,24.5953216685618,57.6501169832633,
1991,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,264462,192,72.6002223381809,6728471,15214032.5565129,25.4421088852085,57.5282367845394,
1992,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,265988,203,76.3192324465765,7277844,15913740.044183,27.3615501451193,59.8287894347976,
1993,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,270384,220,81.3657612876502,7946235,16953105.9371875,29.3887027338896,62.7001077622474,
1994,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,274302,239,87.1302433084702,8503249,17685603.5633462,30.9995880452931,64.4749347921131,
1995,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,277061,256,92.3984248956006,9320014,18880931.4583531,33.6388520939432,68.1472002856884,
1996,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,280547,251,89.4680748680257,9818346,19443960.3168262,34.9971519923578,69.30731861979,
1997,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,285819,278,97.2643526147667,10791426,20906017.5936507,37.75615336979,73.14425420861,
1998,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,288240,294,101.998334721066,11872532,22560748.0914399,41.1897446572301,78.2707052853174,
1999,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,292937,292,99.680136001939,12241709,22384328.6139538,41.7895622608274,76.4134561832537,
2000,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,294911,291,98.6738371915595,12647126,22066584.0912285,42.8845516104859,74.8245541577917,
2001,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,296729,298,100.428336967401,14114972,23816495.8636224,47.5685625604508,80.2634587910935,
2002,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,297568,318,106.866329712872,14081603,23238124.2546158,47.3223028013765,78.0934920912725,
2003,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,298738,323,108.121497767274,15359901,24561345.0938515,51.4159598042432,82.2170098676817,
2004,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,298659,329,110.159077744183,16365597,25017091.3978426,54.7969322873243,83.7647330160572,
2005,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,297043,344,115.80814898853,17789650,25745596.0481855,59.8891406294712,86.6729599693833,
2006,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,299877,355,118.381869899992,20106446,27703742.7383427,67.048976747133,92.383686439249,
2007,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,300176,361,120.262779169554,20981229,27427743.9273371,69.8964240978626,91.3722080623937,
2008,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,299838,350,116.729700705047,21023700,26169348.1319821,70.1168631060773,87.2782907169275,
2009,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,298391,350,117.295762941912,21198978,26533728.6343647,71.0442942313944,88.9226841103273,
2010,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,297830,355,119.195514219521,21527358,26198755.3464809,72.2806903266964,87.9654680404287,
2011,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,299442,346,115.54825308407,23481035,27678787.4279459,78.4159703715578,92.4345530284524,
2012,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,299718,325,108.435262480065,21899902,25231315.09224,73.0683575894674,84.1835161459772,
2013,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,301757,293,97.0979960696852,19684756,21959160.2191346,65.2338007071915,72.7710052099357,
2014,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,304654,216,70.9001030677424,17332109,18901670.1415874,56.8911256704327,62.0430722773618,
2015,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,307730,208,67.5917200142982,16691471,18197505.1984065,54.2406362720567,59.1346479004532,
2016,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,310642,201,64.7047083137502,16405998,17856366.7086364,52.813199760496,57.4821392749095,
2017,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,312811,196,62.6576431135734,16010105,16964400.3757898,51.1814002704508,54.2321094072453,
2018,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,317051,197,62.1351139091187,15348022,15680100.6514383,48.4086850380538,49.4560832529729,
2019,"FL","FL017","Florida Department of Health in Escambia County","single county","12033","Escambia County",,1,,322901,187,57.912487109052,13866532,13866532,42.9436019089442,42.9436019089442,
1990,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,29363,16,54.4903449919967,585900,1373318.22676134,19.9536832067568,46.770364975014,
1991,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,30821,22,71.3799033126764,852241,1927038.44900202,27.6513091723176,62.5235537134428,
1992,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,32388,23,71.0139557860936,885429,1936079.82440691,27.3381808077066,59.7776900212087,
1993,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,34300,19,55.3935860058309,831292,1773541.97814896,24.2359183673469,51.7067632113399,
1994,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,36205,21,58.0030382543848,859007,1786617.94569809,23.7261980389449,49.3472709763317,
1995,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,37972,23,60.570947013589,926680,1877312.79843857,24.4042979037185,49.4393974096327,
1996,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,40303,26,64.5113267002456,1049953,2079295.68448012,26.0514850011165,51.5915858491954,
1997,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,42474,28,65.9226821114093,1147932,2223866.11262632,27.0266986862551,52.3582924289288,
1998,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,44897,34,75.7288905717531,1453818,2762613.87788224,32.3811835980132,61.5322600147501,
1999,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,47559,37,77.798103408398,1633715,2987296.41601067,34.3513320296894,62.8124312119823,
2000,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,50620,38,75.069142631371,1716664,2995218.87521202,33.9127617542473,59.1706613040699,
2001,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,54199,36,66.421889702762,1784554,3011116.34932119,32.9259580435063,55.5566772324432,
2002,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,58478,36,61.5616129142583,1840547,3037357.31524744,31.4741783234721,51.9401709232094,
2003,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,63862,35,54.8056747361498,1821662,2912939.93537821,28.5249757289155,45.613039606937,
2004,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,71092,33,46.4187250323524,1867286,2854406.38235879,26.2657683002307,40.1508803010014,
2005,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,78946,36,45.6007904137005,2203996,3189674.37289754,27.9177665746206,40.40324237957,
2006,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,86419,42,48.6004235179764,2766850,3812314.74700121,32.0166861454078,44.114312211449,
2007,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,91578,50,54.5982659590731,3183154,4161182.9694666,34.7589377361375,45.4386748942607,
2008,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,93797,54,57.5711376696483,3555698,4425971.585125,37.9084405684617,47.1867073054042,
2009,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,94897,60,63.2264455146106,3840228,4806626.41595689,40.4673277342803,50.6509838662644,
2010,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,95812,63,65.7537677952657,4015154,4886435.08062829,41.9065879013067,51.000240894964,
2011,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,96443,70,72.5817322148834,4342437,5118743.30250974,45.0259427848574,53.07532223707,
2012,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,97347,66,67.7986994976733,3901093,4494527.26716,40.0740957605268,46.1701672076181,
2013,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,98062,67,68.3241214741694,4075304,4546170.31969713,41.5584426179356,46.3601631589926,
2014,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,99646,59,59.2096019910483,3827602,4174221.98517677,38.4119984746001,41.8905122651865,
2015,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,101826,54,53.0316422131872,3676739,4008482.95909233,36.1080568813466,39.3660063156004,
2016,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,103584,44,42.4776027185666,3094810,3368406.00940919,29.877297652147,32.5185936960263,
2017,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,106076,42,39.5942531769675,3157294,3345487.08581729,29.7644519024096,31.5385863514583,
2018,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,108481,48,44.2473797254819,3649781,3728749.76565105,33.6444262128852,34.3723764129299,
2019,"FL","FL018","Florida Department of Health in Flagler County","single county","12035","Flagler County",,1,,110636,52,47.0009761741205,4012622,4012622,36.2686828880292,36.2686828880292,
1990,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9009,12,133.200133200133,523290,1226563.7393445,58.0852480852481,136.14871121595,
1991,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9162,12,130.975769482646,497852,1125714.37646458,54.3387906570618,122.867755562605,
1992,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9226,10,108.389334489486,469245,1026051.5266654,50.861153262519,111.213042127184,
1993,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9508,10,105.1745898191,469464,1001590.4293915,49.3756836348338,105.341862577987,
1994,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9559,10,104.613453290093,528986,1100219.06762465,55.3390522021132,115.097716039821,
1995,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9575,14,146.21409921671,672371,1362121.42659704,70.2215143603133,142.258112438333,
1996,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9574,17,177.564236473783,679035,1344740.71230899,70.9249007729267,140.457563433151,
1997,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9626,20,207.770621234157,776708,1504701.15007315,80.68855183877,156.316346361224,
1998,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9669,25,258.558279036095,1036039,1968730.41840673,107.150584341711,203.612619547702,
1999,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9710,29,298.661174047374,1341277,2452564.84452768,138.133573635427,252.581343411707,
2000,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9871,30,303.920575422956,1449767,2529539.55058154,146.871340289738,256.259705255955,
2001,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,9953,33,331.55832412338,1615142,2725263.83772938,162.276901436753,273.813306312608,
2002,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,10038,31,308.826459454074,1485489,2451423.88695839,147.986551105798,244.214374074356,
2003,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,10215,31,303.47528144885,1579355,2525477.42206801,154.611355849241,247.232248856388,
2004,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,10210,36,352.595494613124,1751579,2677532.13851849,171.555239960823,262.246046867629,
2005,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,10478,34,324.489406375262,1934106,2799083.27540856,184.587325825539,267.139079538897,
2006,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,11419,33,288.992030825817,2013364,2774121.20941914,176.317015500482,242.939067293032,
2007,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,11605,32,275.74321413184,2120858,2772494.88722726,182.753813011633,238.905203552543,
2008,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,11611,33,284.213246059771,2327743,2897468.90075412,200.477392128154,249.545164133505,
2009,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,11606,32,275.719455454075,2237609,2800706.24139579,192.797604687231,241.3153749264,
2010,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,11530,30,260.1908065915,2138486,2602533.55408846,185.471465741544,225.71843487324,
2011,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,11529,24,208.170699973979,1870178,2204513.52823336,162.215109723306,191.214635114351,
2012,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,11525,21,182.212581344902,1667647,1921329.46164,144.698221258134,166.709714675922,
2013,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,11613,22,189.442865753896,1831703,2043340.52455969,157.728666150004,175.95285667439,
2014,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,11823,23,194.536073754546,1912753,2085968.08780349,161.7823733401,176.433061642857,
2015,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,11852,24,202.49746878164,2045443,2229998.75957872,172.582095848802,188.153793417036,
2016,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,11937,21,175.923598894195,1856486,2020608.24373193,155.523665912708,169.272701996476,
2017,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,12006,20,166.583374979177,1784881,1891270.28880448,148.665750458104,157.527093853447,
2018,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,12360,22,177.993527508091,1826993,1866522.87372752,147.81496763754,151.013177486045,
2019,"FL","FL019","Florida Department of Health in Franklin County","single county","12037","Franklin County",,1,,12017,22,183.073978530415,1917011,1917011,159.524923025714,159.524923025714,
1990,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,41310,67,162.188332122973,1978032,4636401.09014709,47.8826434277415,112.234352218521,
1991,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,41966,71,169.184577991708,2398902,5424259.55731753,57.1629890864033,129.253671003134,
1992,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,41988,70,166.714299323616,2351586,5141980.00060733,56.0061446127465,122.463084705328,
1993,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,42252,75,177.506390230048,2668681,5693568.30065553,63.1610574647354,134.752634210346,
1994,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,42826,81,189.137439872974,2900584,6032820.95187204,67.7295101106804,140.868186425817,
1995,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,43696,89,203.679970706701,3349259,6785089.55193332,76.6490983156353,155.279420357317,
1996,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,44412,82,184.634783391876,3324689,6584115.18414494,74.8601504097991,148.25081473802,
1997,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,44582,74,165.986272486654,3093836,5993627.7047973,69.3965277466242,134.440529917843,
1998,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,45011,67,148.852502721557,2884148,5480594.74477981,64.0765146297572,121.761230472103,
1999,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,45312,67,147.863700564972,3037833,5554767.89607669,67.0425715042373,122.589333864687,
2000,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,45070,69,153.095185267362,3007282,5247076.77768355,66.7246949190149,116.420607448049,
2001,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,45311,70,154.487872701993,3107914,5244050.14232363,68.5907174858202,115.734592975737,
2002,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,45425,75,165.107319757843,3606326,5951328.95669985,79.3907760044029,131.01439640506,
2003,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,45298,77,169.985429820301,3692090,5903859.44594032,81.5066890370436,130.333777339845,
2004,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,45322,83,183.134018798817,4167788,6371043.67917844,91.9594898724681,140.57287143503,
2005,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,45687,81,177.29332195154,4421163,6398410.12393071,96.7707006369427,140.048813096301,
2006,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,45903,74,161.2095070039,4090637,5636299.67642943,89.114807311069,122.787174616679,
2007,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,46338,77,166.170313781346,4441276,5805864.89183393,95.8452242220208,125.293816993265,
2008,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,46823,82,175.127608226726,5176383,6443326.75939411,110.552143177498,137.610293219019,
2009,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,46202,93,201.289987446431,5883592,7364205.64818356,127.344963421497,159.391490588796,
2010,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,46788,94,200.906215268872,6278422,7640828.10068766,134.188723604343,163.307431407362,
2011,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,48259,93,192.710168051555,5860247,6907895.28605777,121.433245612217,143.142114135348,
2012,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,47376,87,183.637284701114,5778782,6657850.31784,121.976992570078,140.532132679838,
2013,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,47729,85,178.088792977016,5602938,6250309.28703802,117.390643005301,130.954121960192,
2014,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,48174,72,149.458213974343,4853107,5292594.66784041,100.741208950886,109.864131436883,
2015,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,48356,52,107.535776325585,3379027,3683909.06937177,69.8781330134833,76.1830810937994,
2016,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,48527,49,100.974715107054,3331157,3625647.21488087,68.6454345003812,74.7140193063835,
2017,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,48690,49,100.636681043335,3160594,3348983.78501072,64.9125898541795,68.7817577533521,
2018,"FL","FL020","Florida Department of Health in Gadsden County","single county","12039","Gadsden County",,1,,48173,48,99.6408776700641,3399305,3472854.32252687,70.5645278475495,72.0913026493444,
